(Density),Average,Median,Std Dev
I-394 Morning,0.683,0.629,0.255
I-394 Afternoon,0.603,0.591,0.947
I-35W Morning,0.745,0.744,0.168
I-35W Afternoon,-0.534,0.553,6.272
(MnPASS %),,,
I-394 Morning,0.399,0.383,0.313
I-394 Afternoon,0.221,0.364,1.556
I-35W Morning,0.377,0.339,0.307
I-35W Afternoon,0.202,0.244,3.04
